SKU,Megnevezés,Auchan,Tesco,Egyéb,Power Life,Power Life,VL Euro,VL Euro,Genoxy Eladási ár db.,Genoxy Eladási ár karton,karton db
133,"Xixo ice tea 1,5 l CITROM",179,179,179,,,161,966/6,179,1074,6
134,"Xixo ice tea 1,5 l EPER-ROOIBOS",179,179,179,,,161,966/6,179,1074,6
135,"Xixo ice tea 1,5 l FEKETERIBIZLI",179,179,179,,,161,966/6,179,1074,6
136,"Xixo ice tea 1,5 l KÖRTE ÍZŰ",179,179,179,,,161,966/6,179,1074,6
137,"Xixo ice tea 1,5 l MANGó ÍZŰ",179,179,179,,,161,966/6,179,1074,6
138,"Xixo ice tea 1,5 l RóZSA ÍZŰ",179,179,179,,,147,882/6,179,1074,6
139,"Xixo ice tea 1,5 l SZILVA ÍZŰ",179,179,179,,,161,966/6,179,1074,6
140,"Xixo ice tea 1,5 l YLANG-YLANG ÍZŰ",179,179,179,,,147,882/6,179,1074,6
141,"Xixo ice tea 1,5 l ZÖLD TEA LICSIVEL",179,179,179,,,161,966/6,179,1074,6
142,"Xixo ice tea 1,5 l ŐSZIBARACK",179,179,179,,,161,966/6,179,1074,6
143,Xixo ice tea 250 ml KÖRTE,129,129,129,,,78,1872/24,99,2376,24
144,Xixo üdítőital 250 ml DOBOZOS COLA,,129,129,,,60,240/4,99,396,4
145,Xixo üdítőital 250 ml DOBOZOS COLA ZERO,,129,129,,,60,240/4,99,396,4
146,Xixo üdítőital 250 ml DOBOZOS NARANCS,,129,129,,,60,240/4,99,396,4
